StationID,Year,AverageTemp_Fall,AverageTemp_Spring,AverageTemp_Summer,AverageTemp_Winter,MaxTemp_Fall,MaxTemp_Spring,MaxTemp_Summer,MaxTemp_Winter,MinTemp_Fall,MinTemp_Spring,MinTemp_Summer,MinTemp_Winter
99999900237,2025,49.475,36.92,67.055,12.85,76.25,58.9,78.1,42.6,15.35,15.8,56.35,-17.0
99999900238,2015,49.49,43.61,67.14,16.36,77.4,70.7,76.4,39.3,17.4,-4.2,56.6,-8.6
99999900238,2016,48.69,45.57,67.8,17.92,70.2,70.4,77.0,39.6,19.3,14.6,56.3,-17.2
99999900238,2017,44.33,42.67,66.68,18.56,74.5,64.7,79.2,47.8,10.9,6.4,55.7,-16.4
99999900238,2018,40.11,41.17,68.42,14.66,75.9,77.6,79.4,34.3,5.8,13.8,56.2,-11.4
99999900238,2019,43.63,38.48,66.98,10.77,75.0,70.8,77.2,33.0,6.6,-12.0,55.6,-29.6
99999900238,2020,43.13,41.93,69.66,17.25,67.5,68.9,82.8,34.4,15.8,20.3,60.8,-12.6
99999900238,2021,48.16,44.79,71.14,14.76,72.7,74.6,83.4,37.9,13.4,13.7,55.9,-16.9
99999900238,2022,44.88,40.05,69.69,9.09,74.2,69.3,87.1,31.8,14.6,4.5,61.8,-17.8
99999900238,2023,47.77,39.98,69.08,19.91,81.3,74.2,80.8,43.5,12.2,7.8,58.7,-11.6
99999900238,2024,48.44,44.32,67.25,21.78,73.2,67.7,78.9,42.1,2.4,17.6,56.7,-10.5
99999900238,2025,53.25,35.81,71.46000000000001,10.38,74.5,56.6,82.35,40.1,18.349999999999998,15.0,60.75,-17.7
99999900258,2015,58.06,55.86,75.67,36.23,75.8,69.7,85.8,54.3,34.3,34.9,64.8,17.7
99999900258,2016,59.47,56.69,77.06,37.8,78.3,72.3,86.2,57.5,28.0,38.8,63.5,23.4
99999900258,2017,59.26,58.08,76.87,40.08,78.0,76.3,86.2,57.3,35.1,37.4,65.2,24.2
99999900258,2018,61.47,60.17,77.9,39.23,86.0,77.9,86.7,52.6,41.2,36.3,66.2,24.8
99999900263,2015,67.62,64.51,78.83,48.7,82.1,79.5,86.0,67.6,38.7,36.0,71.3,31.1
99999900263,2016,68.35,64.92,78.81,50.4,81.3,78.2,84.4,70.3,41.2,45.0,67.3,29.7
99999900263,2017,66.3,66.26,78.85,53.15,80.5,79.3,88.2,69.0,45.3,47.4,69.5,27.0
99999900263,2018,62.9,66.33,80.35,48.57,82.0,80.8,86.8,67.3,35.6,45.9,72.2,24.0
99999900263,2019,66.35,63.9,79.59,50.03,82.6,78.9,95.4,65.1,31.8,31.6,68.1,33.0
99999900263,2020,65.54,66.83,79.75,50.42,82.2,79.5,86.4,66.0,38.0,47.7,70.9,36.4
99999900263,2021,66.35,64.64,77.52,50.94,81.4,81.1,82.2,69.0,46.1,47.2,65.8,13.6
99999900263,2022,65.99,67.27,81.57,47.45,82.1,81.2,87.4,71.0,38.4,37.5,73.4,19.2
99999900263,2023,67.92,65.42,82.66,52.61,86.2,77.0,87.7,71.6,39.0,42.2,70.2,29.8
99999900263,2024,68.72,68.3,80.64,51.89,82.2,85.2,88.5,68.8,37.6,49.3,72.3,20.8
99999900263,2025,63.25,65.1,77.0625,47.58,78.05000000000001,76.2,87.0,69.9,33.7,46.9,67.75,25.6
99999900277,2024,57.78,61.459999999999994,73.485,44.63,73.9,76.85,85.5,61.1,29.8,42.8,63.2,27.7
99999900277,2025,51.555,57.82,69.9075,40.35,75.55000000000001,77.5,84.0,65.6,20.65,38.7,58.65,19.0
99999900288,2015,45.33,49.93,66.33,14.32,77.2,69.8,82.5,35.4,11.5,32.5,54.1,-18.0
99999900288,2016,46.5,42.3,65.15,13.38,71.2,68.7,75.8,33.0,22.1,4.1,52.1,-16.4
99999900288,2017,40.85,45.63,65.1,6.04,71.0,62.4,82.6,31.7,3.9,28.6,49.9,-23.1
99999900288,2018,34.67,39.62,66.4,9.46,67.0,74.4,79.0,33.3,-0.1,9.4,52.9,-18.3
99999900288,2019,36.01,28.9,66.9,3.39,80.8,55.3,79.0,28.5,5.0,-13.5,53.15,-30.6
99999900288,2020,40.06,37.09,67.4,14.07,71.1,68.3,79.0,34.3,13.7,4.9,53.4,-18.2
99999900288,2021,45.51,40.61,67.81,9.08,74.5,69.1,78.7,33.3,0.7,-1.3,54.2,-27.6
99999900288,2022,40.42,34.91,66.53,2.98,71.5,66.8,82.4,28.6,6.2,-3.9,49.8,-22.8
99999900288,2023,43.47,27.54,66.39,13.19,74.9,75.8,82.6,36.6,8.5,-0.4,56.1,-19.5
99999900288,2024,44.87,39.12,61.08,15.55,70.6,63.0,75.2,38.0,-9.0,7.6,54.8,-15.9
99999900288,2025,50.22,29.92,68.275,2.15,76.69999999999999,52.6,80.7,34.2,6.35,3.9,57.65,-24.9
99999900319,2015,55.57,52.22,75.47,32.24,82.8,71.8,86.2,54.5,21.7,22.1,60.5,5.6
99999900319,2016,54.43,50.79,75.3,32.16,75.4,71.8,88.5,54.0,23.9,29.7,60.3,1.2
99999900319,2017,58.4,51.05,72.8,30.87,77.7,82.4,86.5,51.5,34.1,33.3,60.5,0.9
99999900319,2018,49.42,50.28,73.58,30.24,79.0,78.8,84.4,46.3,25.2,24.1,58.3,5.6
99999900319,2019,51.74,46.86,73.03,29.52,82.6,71.8,86.9,42.0,17.4,4.2,56.7,5.5
99999900319,2020,51.57,49.63,76.09,32.87,81.8,74.6,85.3,57.6,13.2,24.3,56.9,11.8
99999900319,2021,55.46,49.64,75.28,30.34,79.9,79.1,87.0,50.7,27.7,29.2,58.4,-11.0
99999900319,2022,51.75,49.6,77.16,28.6,83.3,76.0,93.2,47.8,16.0,14.5,52.2,-7.2
99999900319,2023,53.21,48.48,72.22,30.53,82.8,80.0,87.0,45.1,19.1,25.3,57.5,2.7
99999900319,2024,53.41,49.56,74.99,33.28,77.0,70.2,92.2,49.8,26.8,25.2,59.5,-2.7
99999900319,2025,50.92,46.99,71.53999999999999,26.07,78.3,65.9,86.45,50.8,20.5,33.5,57.35,-3.6
99999900321,2015,48.43,43.43,68.09,15.75,79.6,69.2,80.7,40.2,14.2,0.7,55.2,-7.9
99999900321,2016,38.095,39.15,68.39333333333333,19.47,62.15,60.1,81.13333333333334,38.9,13.149999999999999,15.2,55.16666666666667,-13.3
99999900321,2017,27.76,39.84,68.69666666666667,16.57,44.7,68.55,81.56666666666666,34.8,12.1,13.149999999999999,55.13333333333333,-18.6
99999900321,2018,39.2,40.53,69.0,13.5,77.5,77.0,82.0,34.8,8.3,11.1,55.1,-14.2
99999900321,2019,43.24,37.47,67.34,8.0,77.0,71.2,79.8,34.1,7.2,-12.2,54.7,-28.4
99999900321,2020,43.08,40.89,70.21,17.22,66.8,68.8,83.3,38.1,12.9,12.3,59.9,-15.6
99999900321,2021,48.02,44.22,71.54,14.96,75.3,71.3,83.7,40.5,11.9,14.5,57.1,-18.4
99999900321,2022,44.17,38.69,69.78,7.3,75.6,68.9,84.9,33.7,10.8,5.5,56.4,-18.1
99999900321,2023,46.44,36.24,69.09,16.35,77.0,74.1,84.1,39.2,12.6,-0.5,57.4,-15.3
99999900321,2024,47.47,42.89,67.64,20.06,74.5,67.5,80.3,39.5,0.1,13.2,56.1,-14.4
99999900321,2025,46.885,36.19,67.295,9.34,77.15,56.4,82.15,40.0,5.95,15.5,54.400000000000006,-18.1
99999900322,2015,46.3,41.0,66.95,13.24,79.8,73.2,84.0,36.6,11.8,-4.1,52.7,-13.6
99999900322,2016,53.32,43.93,66.3,18.34,71.4,71.4,79.6,38.2,33.8,13.6,50.2,-10.3
99999900322,2017,42.06,40.45,66.86,14.71,74.0,65.2,78.1,35.6,3.6,-2.7,50.8,-23.0
99999900322,2018,37.14,38.62,67.49,11.84,69.7,74.6,82.2,36.9,7.9,7.0,52.6,-17.6
99999900322,2019,41.02,37.33,66.12,6.49,74.5,72.2,78.7,32.0,3.8,-10.8,54.5,-27.6
99999900322,2020,41.65,39.39,68.17,17.47,66.9,67.5,80.8,36.9,15.8,4.3,53.3,-15.9
99999900322,2021,46.87,42.73,70.54,12.66,72.9,68.9,83.8,40.8,7.8,7.4,55.0,-24.8
99999900322,2022,39.69,36.89,67.72,6.15,74.3,67.8,84.5,34.4,0.8,-2.2,56.0,-21.2
99999900322,2023,44.5,34.92,67.61,16.72,73.7,75.2,79.3,42.0,11.8,-0.2,54.7,-16.2
99999900322,2024,45.61,40.52,65.97,17.99,71.9,65.2,77.0,41.5,-6.3,6.6,53.7,-19.4
99999900322,2025,55.06,34.07,73.28999999999999,5.92,75.25,58.2,81.75,36.9,19.15,16.2,62.6,-23.0
99999900325,2015,64.51,69.66,80.61,53.73,78.6,81.0,86.5,73.5,44.6,44.5,71.5,33.4
99999900325,2016,72.43,66.89,80.66,50.23,81.7,78.7,91.1,68.0,56.2,49.8,74.4,37.5
99999900325,2017,68.33,66.485,81.49,53.14,80.7,82.80000000000001,94.1,69.7,48.1,47.9,76.9,38.3
99999900325,2018,68.72,66.08,79.06,54.55,86.6,86.9,85.5,73.8,41.5,46.0,73.0,30.6
99999900325,2019,70.76,67.68,80.07,56.3,84.3,84.2,85.5,77.8,40.7,43.8,75.4,39.0
99999900325,2020,70.65,69.39,79.67,53.7,83.0,79.3,84.2,73.1,50.5,50.4,72.0,34.6
99999900325,2021,66.92,66.47,78.88,55.7,80.4,80.8,85.2,75.3,44.2,49.0,71.3,35.9
99999900325,2022,67.54,67.7,79.72,52.86,79.7,80.0,86.3,74.6,44.8,41.6,75.6,25.5
99999900325,2023,67.28,68.04,80.7,57.07,81.4,81.1,86.6,75.4,41.1,44.0,71.8,40.7
99999900325,2024,69.57,68.18,80.83,52.71,82.3,80.9,85.4,68.8,40.0,51.1,72.6,32.2
99999900325,2025,67.03,63.27,82.28999999999999,51.69,79.69999999999999,76.2,88.5,71.3,43.15,48.6,73.85,29.1
99999900335,2015,64.49,79.25,83.75,63.25,77.1,93.9,91.6,73.9,46.3,71.0,75.1,44.3
99999900335,2016,73.36,68.46,84.28,52.44,86.8,83.7,91.7,71.7,51.2,-21.4,78.6,35.7
99999900335,2017,65.82,70.9,78.93,57.21,78.9,87.4,83.8,71.2,44.5,41.3,71.7,36.6
99999900335,2018,66.85,63.85,78.69,50.83,83.9,80.0,85.2,71.0,37.0,42.9,73.8,24.9
99999900335,2019,68.91,72.04,79.96,51.91,86.8,84.9,94.5,67.4,34.0,50.4,72.1,38.5
