StationID,Year,Season,AverageTemp,MaxTemp,MinTemp
99999900179,2020,Spring,41.18,67.90,20.90
99999900179,2020,Summer,68.51,80.50,58.90
99999900179,2020,Winter,17.25,36.70,-12.20
99999900179,2021,Fall,47.16,71.40,13.60
99999900179,2021,Spring,43.97,73.60,14.00
99999900179,2021,Summer,70.14,82.20,54.50
99999900179,2021,Winter,14.96,36.60,-16.60
99999900179,2022,Fall,45.01,72.80,15.10
99999900179,2022,Spring,38.57,67.80,3.70
99999900179,2022,Summer,67.57,84.70,55.60
99999900179,2022,Winter,8.62,31.60,-20.10
99999900179,2023,Fall,45.46,79.20,12.40
99999900179,2023,Spring,39.43,72.10,8.70
99999900179,2023,Summer,68.09,80.30,57.60
99999900179,2023,Winter,20.21,42.20,-11.50
99999900179,2024,Fall,48.35,73.70,4.30
99999900179,2024,Spring,43.52,67.10,18.70
99999900179,2024,Summer,66.59,78.80,47.80
99999900179,2024,Winter,21.49,40.90,-9.20
99999900179,2025,Spring,37.67,59.50,22.80
99999900179,2025,Winter,12.01,30.70,-17.30
99999900180,2015,Fall,51.74,78.20,16.30
99999900180,2015,Spring,46.25,69.90,1.80
99999900180,2015,Summer,68.56,78.10,55.90
99999900180,2015,Winter,20.76,43.40,-7.20
99999900180,2016,Fall,51.73,72.90,26.80
99999900180,2016,Spring,48.26,71.70,19.80
99999900180,2016,Summer,70.02,80.90,59.60
99999900180,2016,Winter,21.78,41.40,-9.90
99999900180,2017,Fall,48.75,79.10,15.30
99999900180,2017,Spring,45.39,66.60,13.90
99999900180,2017,Summer,68.04,80.80,58.00
99999900180,2017,Winter,23.38,51.80,-9.60
99999900180,2018,Fall,44.62,78.20,14.80
99999900180,2018,Spring,43.88,82.30,17.30
99999900180,2018,Summer,70.09,84.40,59.10
99999900180,2018,Winter,19.09,35.90,-7.20
99999900180,2019,Fall,46.69,74.40,10.90
99999900180,2019,Spring,41.69,70.70,-3.20
99999900180,2019,Summer,66.56,75.40,56.40
99999900180,2019,Winter,18.84,36.90,-8.20
99999900180,2020,Fall,45.72,70.80,22.20
99999900180,2020,Spring,45.14,70.60,24.40
99999900180,2020,Summer,70.28,80.60,57.20
99999900180,2020,Winter,21.30,39.10,-4.00
99999900180,2021,Fall,49.66,72.10,21.60
99999900180,2021,Spring,46.78,73.90,17.40
99999900180,2021,Summer,71.22,83.10,56.70
99999900180,2021,Winter,18.17,42.60,-13.20
99999900180,2022,Fall,47.76,75.30,17.40
99999900180,2022,Spring,42.26,73.30,9.30
99999900180,2022,Summer,69.65,86.30,58.20
99999900180,2022,Winter,13.67,34.00,-9.50
99999900180,2023,Fall,49.74,81.20,14.80
99999900180,2023,Spring,43.82,72.20,14.60
99999900180,2023,Summer,69.62,84.80,57.00
99999900180,2023,Winter,24.81,49.60,-6.40
99999900180,2024,Fall,50.80,73.80,12.60
99999900180,2024,Spring,46.76,69.10,22.20
99999900180,2024,Summer,67.68,79.60,57.10
99999900180,2024,Winter,25.17,44.80,-3.60
99999900180,2025,Spring,38.75,58.50,18.60
99999900180,2025,Winter,15.59,44.00,-11.90
99999900209,2015,Fall,65.63,85.40,34.10
99999900209,2015,Spring,61.35,75.20,26.90
99999900209,2015,Summer,78.05,88.30,41.20
99999900209,2015,Winter,44.19,67.00,22.70
99999900210,2015,Fall,58.81,73.20,32.10
99999900210,2015,Spring,55.89,78.80,24.00
99999900210,2015,Summer,71.47,79.50,62.40
99999900210,2015,Winter,37.87,63.90,6.80
99999900210,2016,Fall,59.87,85.80,33.00
99999900210,2016,Summer,75.33,85.20,63.60
99999900210,2016,Winter,38.13,56.70,14.80
99999900210,2017,Fall,58.18,74.70,36.10
